samples =  23 ; cumul. samples =  6810
samples =  16 ; cumul. samples =  6826
samples =  17 ; cumul. samples =  6843
samples =  7 ; cumul. samples =  6850
samples =  17 ; cumul. samples =  6867
samples =  4 ; cumul. samples =  6871
samples =  34 ; cumul. samples =  6905
samples =  11 ; cumul. samples =  6916
samples =  11 ; cumul. samples =  6927
samples =  2 ; cumul. samples =  6929
samples =  28 ; cumul. samples =  6957
samples =  10 ; cumul. samples =  6967
samples =  4 ; cumul. samples =  6971
samples =  31 ; cumul. samples =  7002
samples =  2 ; cumul. samples =  7004
samples =  40 ; cumul. samples =  7044
samples =  9 ; cumul. samples =  7053
samples =  39 ; cumul. samples =  7092
samples =  11 ; cumul. samples =  7103
samples =  67 ; cumul. samples =  7170
samples =  11 ; cumul. samples =  7181
samples =  29 ; cumul. samples =  7210
samples =  18 ; cumul. samples =  7228
samples =  52 ; cumul. samples =  7280
samples =  23 ; cumul. samples =  7303
samples =  36 ; cumul. samples =  7339
samples =  19 ; cumul. samples =  7358
samples =  7 ; cumul. samples =  7365
samples =  7 ; cumul. samples =  7372
samples =  22 ; cumul. samples =  7394
samples =  19 ; cumul. samples =  7413
samples =  11 ; cumul. samples =  7424
samples =  6 ; cumul. samples =  7430
samples =  9 ; cumul. samples =  7439
samples =  10 ; cumul. samples =  7449
samples =  9 ; cumul. samples =  7458
samples =  6 ; cumul. samples =  7464
samples =  19 ; cumul. samples =  7483
samples =  12 ; cumul. samples =  7495
samples =  8 ; cumul. samples =  7503
samples =  10 ; cumul. samples =  7513
samples =  5 ; cumul. samples =  7518
samples =  18 ; cumul. samples =  7536
samples =  24 ; cumul. samples =  7560
samples =  3 ; cumul. samples =  7563
samples =  10 ; cumul. samples =  7573
samples =  5 ; cumul. samples =  7578
samples =  10 ; cumul. samples =  7588
samples =  3 ; cumul. samples =  7591
samples =  8 ; cumul. samples =  7599
samples =  4 ; cumul. samples =  7603
samples =  8 ; cumul. samples =  7611
samples =  10 ; cumul. samples =  7621
samples =  4 ; cumul. samples =  7625
samples =  8 ; cumul. samples =  7633
samples =  15 ; cumul. samples =  7648
samples =  4 ; cumul. samples =  7652
samples =  7 ; cumul. samples =  7659
samples =  2 ; cumul. samples =  7661
samples =  3 ; cumul. samples =  7664
samples =  18 ; cumul. samples =  7682
samples =  12 ; cumul. samples =  7694
samples =  4 ; cumul. samples =  7698
samples =  14 ; cumul. samples =  7712
samples =  5 ; cumul. samples =  7717
samples =  16 ; cumul. samples =  7733
samples =  4 ; cumul. samples =  7737
samples =  15 ; cumul. samples =  7752
samples =  15 ; cumul. samples =  7767
samples =  18 ; cumul. samples =  7785
samples =  12 ; cumul. samples =  7797
samples =  12 ; cumul. samples =  7809
samples =  5 ; cumul. samples =  7814
samples =  7 ; cumul. samples =  7821
samples =  4 ; cumul. samples =  7825
samples =  9 ; cumul. samples =  7834
samples =  2 ; cumul. samples =  7836
samples =  1 ; cumul. samples =  7837
samples =  2 ; cumul. samples =  7839
